,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
389,saint-gilles,0,FR,1569878173,55,43.68,4.43,69.8,4.7
390,tupik,100,RU,1569878173,98,54.43,119.94,39.65,4.03
391,sorong,21,ID,1569878174,94,-0.86,131.25,72.95,2.24
392,huarmey,18,PE,1569878174,92,-10.07,-78.15,61.61,14.61
393,rio grande,1,US,1569878174,58,41.11,-90.4,87.8,13.87
394,kailua,75,US,1569878174,74,21.39,-157.74,86.0,10.29
395,gazojak,0,TM,1569878175,32,41.19,61.4,48.65,10.74
396,nisia floresta,0,GR,1569878175,82,39.39,21.64,68.0,6.53
397,piranshahr,0,IR,1569878175,39,36.7,45.14,48.65,6.8
398,rawlins,90,US,1569878168,37,41.79,-107.24,57.2,12.75
399,glens falls,20,US,1569878176,46,34.87,-88.41,96.01,5.17
400,santa maria,100,PH,1569878176,73,17.49,120.43,83.03,8.55
401,villa bruzual,5,IT,1569878176,87,46.06,11.52,70.0,6.93
402,killybegs,100,IE,1569878177,94,54.63,-8.45,51.01,10.0
403,pingliang,100,CN,1569878177,84,35.54,106.68,54.59,7.29
404,turbat,60,PK,1569878177,75,26.0,63.05,81.23,8.63
405,pisco,90,PE,1569878177,30,-13.71,-76.2,71.6,8.05
406,takapau,45,NZ,1569878178,61,-40.02,176.35,55.99,9.44
407,tura,13,RU,1569878178,70,64.27,100.22,24.89,3.51
408,nizhniy kuranakh,40,RU,1569878178,87,45.39,39.24,59.0,2.24
409,dingle,100,PH,1569878178,88,11.0,122.67,73.85,2.15
410,palmares do sul,34,BR,1569878179,87,-8.68,-35.59,68.81,9.31
411,amahai,29,ID,1569878179,86,-3.31,129.0,76.55,7.72
412,sibolga,100,ID,1569878179,81,1.74,98.78,78.89,5.55
413,yining,0,CN,1569878180,73,29.04,114.56,61.25,0.31
414,chernyshevskiy,97,RU,1569878180,94,63.01,112.47,28.67,3.83
415,yarovoye,42,RU,1569878180,68,52.92,78.56,34.79,5.55
416,nishihara,0,JP,1569878181,73,35.74,139.53,73.4,6.93
417,najran,0,SA,1569878181,32,17.54,44.22,80.6,10.09
418,somerset east,1,US,1569878181,55,41.77,-71.13,66.0,3.36
419,tigil,96,RU,1569878181,77,57.8,158.67,40.91,17.85
420,meulaboh,89,ID,1569878182,81,4.14,96.13,78.89,7.02
421,bantou,0,CN,1569878182,90,26.22,117.49,64.49,2.26
422,buraydah,0,SA,1569878182,33,26.33,43.97,86.0,2.24
423,north platte,92,NG,1569878108,93,4.97,7.66,74.75,4.03
424,broome,75,GB,1569878183,93,52.47,1.45,57.99,6.93
425,khandyga,100,RU,1569878183,64,62.65,135.58,29.57,6.4
426,inhambane,47,MZ,1569878184,87,-23.87,35.38,72.23,9.35
427,burns lake,75,US,1569878184,45,43.59,-119.05,48.2,6.93
428,greenville,40,US,1569878038,88,34.85,-82.4,93.2,8.05
429,vasilsursk,100,RU,1569878185,96,56.13,46.01,49.55,9.4
430,tirlyanskiy,0,RU,1569878185,93,54.22,58.58,25.97,4.88
431,taoudenni,0,ML,1569878185,10,22.68,-3.98,95.99,11.3
432,ostersund,90,SE,1569878186,93,63.18,14.64,35.6,9.17
433,dafeng,1,CN,1569878186,93,33.2,120.46,63.95,4.97
434,lebrija,40,CO,1569878186,73,7.11,-73.22,77.0,9.17
435,tongliao,0,CN,1569878020,50,43.61,122.27,67.91,13.71
436,araouane,0,ML,1569878187,8,18.9,-3.53,97.43,11.63
437,nara,71,JP,1569878187,94,34.68,135.8,75.99,2.24
438,kirovskiy,70,RU,1569878187,84,45.09,133.51,54.23,5.68
439,clyde river,100,NZ,1569878188,80,-45.19,169.32,39.99,3.94
440,labuhan,100,ID,1569878188,77,-2.54,115.51,72.59,1.66
441,swellendam,58,ZA,1569878188,87,-34.02,20.44,53.6,4.7
442,lagoa,20,PT,1569878188,100,37.14,-8.45,68.0,6.93
443,ouango,100,CD,1569878189,97,4.31,22.55,67.37,0.81
444,bridlington,75,GB,1569878167,100,54.08,-0.19,55.4,6.93
445,coquimbo,20,CL,1569878189,59,-29.95,-71.34,60.8,13.87
446,ronneby,0,SE,1569878189,76,56.21,15.28,50.0,10.29
447,abnub,0,EG,1569878190,47,27.27,31.15,77.0,11.41
448,waipawa,1,NZ,1569878190,61,-39.94,176.59,55.99,5.14
449,kisaran,100,ID,1569878191,97,2.98,99.62,72.95,1.34
450,registro,0,BR,1569878148,84,-24.5,-47.84,68.45,3.85
451,paciran,100,ID,1569878191,76,-6.9,112.33,71.33,4.65
452,japura,100,ID,1569878191,97,-0.42,102.29,71.69,1.28
453,coahuayana,100,MX,1569878191,93,18.62,-100.35,72.95,0.78
454,lewistown,1,US,1569878043,58,40.39,-90.15,89.6,13.87
455,leiyang,0,CN,1569878192,49,26.42,112.85,68.81,2.08
456,abapo,0,BO,1569878192,24,-18.83,-63.47,95.99,18.99
457,ochamchira,0,GE,1569878192,58,42.71,41.47,62.15,5.46
458,berlevag,75,NO,1569878193,70,70.86,29.09,42.8,26.4
459,tampere,90,FI,1569878193,93,61.5,23.76,51.8,5.82
460,avera,1,US,1569878193,32,33.19,-82.53,98.6,5.82
461,norton shores,1,US,1569878029,55,41.97,-71.19,66.0,3.36
462,bahia blanca,14,BR,1569878194,55,-3.55,-40.25,81.59,9.78
463,rafraf,20,TN,1569878194,88,37.19,10.18,73.4,13.15
464,vardo,90,US,1569878194,82,39.62,-77.74,71.01,9.17
465,port-gentil,20,GA,1569878193,88,-0.72,8.78,77.0,5.82
466,calabar,100,NG,1569878195,92,4.98,8.34,74.93,3.29
467,seoul,20,KR,1569878195,100,37.57,126.98,64.4,5.82
468,adrar,0,DZ,1569878195,13,27.87,-0.29,91.4,5.82
469,nabire,89,ID,1569878195,99,-3.36,135.5,68.99,2.35
470,bernalda,5,IT,1569878196,93,40.41,16.69,73.0,1.12
471,kasempa,91,ZM,1569878196,52,-13.46,25.83,69.71,5.99
472,cavalcante,99,BR,1569878196,49,-13.79,-47.46,77.45,2.24
473,baruun-urt,0,MN,1569878197,42,46.68,113.28,57.11,9.19
474,corn island,0,FR,1569878197,93,44.61,1.9,57.99,3.36
475,nyurba,100,RU,1569878197,96,63.29,118.35,27.23,4.74
476,mayo,90,CA,1569878197,80,63.59,-135.9,39.2,3.36
477,guamuchil,100,MX,1569878198,57,25.47,-108.1,93.0,3.0
478,vao,100,EE,1569878198,96,59.1,26.19,50.45,5.77
479,biak,100,ID,1569878198,94,-0.91,122.88,59.45,3.24
480,kollo,20,NE,1569878199,42,13.34,2.32,86.0,11.41
481,saint-paul,0,FR,1569878199,93,45.22,1.9,57.99,3.36
482,dunedin,0,NZ,1569877934,71,-45.87,170.5,44.01,15.01
483,panguipulli,100,CL,1569878199,62,-39.64,-72.33,50.0,1.99
484,sur,12,OM,1569878087,55,22.57,59.53,86.81,10.47
485,bathsheba,40,BB,1569878200,62,13.22,-59.52,87.8,11.41
486,at-bashi,100,KG,1569878200,86,41.17,75.81,39.11,1.41
487,alofi,75,NU,1569878200,78,-19.06,-169.92,78.8,11.41
488,alyangula,46,AU,1569878201,100,-13.85,136.42,64.4,2.24
489,grand-santi,100,GF,1569877638,54,4.27,-54.38,86.45,3.04
490,hirara,100,JP,1569878201,82,24.8,125.28,82.49,38.95
491,camacha,20,PT,1569878075,68,33.08,-16.33,69.8,5.82
492,prado,0,CO,1569878202,46,3.75,-74.93,90.23,2.06
493,mpulungu,100,ZM,1569878202,77,-8.77,31.12,66.29,2.71
494,galesong,20,ID,1569878202,83,-5.32,119.37,73.4,2.24
495,beidao,100,CN,1569878068,85,34.57,105.89,56.75,13.31
496,misratah,0,LY,1569878202,60,32.38,15.09,76.91,4.18
497,shilong,0,CN,1569878203,65,23.11,113.84,87.01,2.24
498,tynda,100,RU,1569878203,99,55.15,124.74,32.45,3.24
499,kruisfontein,100,ZA,1569878203,87,-34.0,24.73,52.79,10.89
500,valentin gomez farias,20,FR,1569878203,93,43.8,6.69,69.8,3.36
501,atar,100,MR,1569878204,16,20.52,-13.05,99.23,8.79
502,norrtalje,75,SE,1569878204,100,59.76,18.7,45.0,14.99
503,boulder city,40,US,1569878166,42,40.02,-105.27,75.0,4.7
504,yanam,95,IN,1569878204,86,16.73,82.22,76.73,3.47
505,santa isabel do rio negro,100,PH,1569878176,73,17.49,120.43,83.03,8.55
506,krasnooktyabrskiy,40,RU,1569878205,87,44.93,38.37,59.0,2.24
507,borovichi,100,RU,1569878205,97,58.39,33.91,50.27,6.44
508,vestmanna,96,FO,1569878205,80,62.16,-7.17,41.0,9.17
509,sabang,100,PH,1569878206,92,13.8,121.11,78.01,1.99
510,poselki,100,RU,1569878206,83,53.13,46.5,49.91,14.07
511,acurenam,100,GA,1569878206,99,1.03,10.67,67.19,1.88
512,kafanchan,93,NG,1569878206,95,9.58,8.3,69.89,3.89
513,hualmay,2,PE,1569878207,90,-11.1,-77.61,61.79,13.47
514,sorland,75,NO,1569878207,86,67.67,12.69,39.2,2.24
515,darnah,0,LY,1569878079,72,32.77,22.64,76.01,11.54
516,reconquista,0,AR,1569878207,32,-29.14,-59.64,96.53,8.84
517,codrington,90,AU,1569878147,82,-28.95,153.24,64.99,4.7
518,bay roberts,40,PH,1569878208,88,14.18,121.28,81.0,2.24
519,mogadishu,100,SO,1569878208,87,2.04,45.34,76.37,11.61
520,kapasan,100,IN,1569878208,94,24.95,74.23,71.51,3.71
521,walker,40,US,1569878209,61,43.01,-85.77,84.99,13.87
522,severo-kurilsk,74,RU,1569878209,75,50.68,156.12,45.23,17.29
523,rundu,0,NA,1569878209,17,-17.91,19.77,75.2,4.7
524,lashio,100,MM,1569878210,99,22.93,97.75,65.39,0.92
525,birjand,0,IR,1569878210,15,32.86,59.22,69.8,4.32
526,fairbanks,90,US,1569878133,93,64.84,-147.72,48.0,4.03
527,smithers,20,CA,1569878101,34,54.78,-127.17,50.0,3.36
528,nanortalik,99,GL,1569878211,56,60.14,-45.24,44.51,10.2
529,cartagena,100,ES,1569878211,94,37.63,-1.0,73.99,4.7
530,alamosa,1,US,1569878126,6,37.47,-105.87,77.0,27.51
531,shumskiy,27,RU,1569878211,85,54.83,99.13,31.01,5.91
532,lethem,78,GY,1569878211,50,3.38,-59.8,90.23,12.26
533,butembo,82,CD,1569878212,96,0.12,29.29,61.43,2.48
534,vanimo,45,PG,1569878212,77,-2.67,141.3,79.61,6.87
535,myaundzha,0,RU,1569878212,78,63.05,147.18,13.91,1.88
536,joshimath,90,IN,1569878212,90,30.57,79.57,48.83,3.67
537,porto santo,40,PT,1569878213,100,41.15,-8.61,68.0,3.36
538,mwene-ditu,23,CD,1569878213,87,-7.01,23.45,69.53,2.55
539,sao felix do xingu,100,IN,1569878213,89,20.51,76.21,71.33,4.83
